loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,delinq_2yrs,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,is_default,grade_encoded,emp_length_num,fico_score,purpose_debt_consolidation,purpose_home_improvement,purpose_major_purchase,purpose_other,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,verification_status_Source Verified,verification_status_Verified,term_ 60 months
10311,10311, 60 months,25.35,411.87,D,D3,3 years,RENT,63408.86325854215,Source Verified,Default,major_purchase,23.88177776905431,0,603,607,23,0,24647,66.5,30,f,Individual,4,0.0,1,4,3,605.0,False,False,True,False,False,False,True,True,False,True
22568,22568, 36 months,17.34,808.43,C,C5,< 1 year,RENT,29474.218992575967,Source Verified,Does not meet the credit policy. Status:Charged Off,major_purchase,35.50049386288346,0,623,627,11,0,3775,51.0,19,f,Individual,3,0.0,1,3,0,625.0,False,False,True,False,False,False,True,True,False,False
24769,24769, 60 months,10.13,800.74,C,C4,6 years,MORTGAGE,159768.4150508565,Verified,Fully Paid,other,35.24361709857425,0,793,797,7,0,33523,38.0,20,f,Individual,3,0.0,0,3,6,795.0,False,False,False,True,True,False,False,False,True,True
33693,33693, 36 months,23.43,1311.81,D,D4,,MORTGAGE,43671.39779999428,Verified,Default,credit_card,32.03910114012938,0,790,794,15,0,44952,34.7,23,f,Individual,0,0.0,1,4,0,792.0,False,False,False,False,True,False,False,False,True,False
11396,11396, 36 months,22.49,438.11,B,B3,1 year,MORTGAGE,101785.25834513252,Verified,Charged Off,debt_consolidation,19.49376624229352,0,664,668,21,0,38479,70.1,35,f,Joint App,2,1.0,1,2,1,666.0,True,False,False,False,True,False,False,False,True,False
32480,32480, 36 months,11.16,1065.82,D,D3,8 years,RENT,60821.70220231671,Source Verified,Default,major_purchase,32.509039315573574,0,665,669,17,0,12924,59.6,36,w,Individual,1,0.0,1,4,8,667.0,False,False,True,False,False,False,True,True,False,False
30658,30658, 36 months,27.59,1261.34,C,C3,2 years,RENT,111868.92769045396,Not Verified,Does not meet the credit policy. Status:Charged Off,other,18.574972151636366,0,612,616,20,1,37223,19.1,26,w,Individual,1,0.0,1,3,2,614.0,False,False,False,True,False,False,True,False,False,False
23942,23942, 36 months,7.61,745.96,C,C5,< 1 year,MORTGAGE,31241.646026416696,Source Verified,Default,home_improvement,28.242404410770927,0,626,630,15,0,16014,17.7,33,f,Individual,0,1.0,1,3,0,628.0,False,True,False,False,True,False,False,True,False,False
23431,23431, 36 months,29.57,989.17,C,C5,8 years,MORTGAGE,43580.73006081595,Verified,Charged Off,home_improvement,24.85998487920204,0,715,719,12,0,30804,11.4,28,w,Individual,0,0.0,1,3,8,717.0,False,True,False,False,True,False,False,False,True,False
7747,7747, 36 months,26.51,314.24,E,E2,9 years,MORTGAGE,55818.69459607322,Source Verified,Default,debt_consolidation,15.500863343477516,1,680,684,19,0,12069,66.5,22,w,Individual,1,0.0,1,5,9,682.0,True,False,False,False,True,False,False,True,False,False
5189,5189, 60 months,22.2,198.71,B,B1,5 years,RENT,37859.25980697688,Source Verified,Does not meet the credit policy. Status:Charged Off,major_purchase,20.85073974596853,1,720,724,24,0,28985,33.3,30,w,Individual,1,0.0,1,2,5,722.0,False,False,True,False,False,False,True,True,False,True
24118,24118, 60 months,28.47,1003.74,B,B5,3 years,MORTGAGE,45781.7641958046,Source Verified,Does not meet the credit policy. Status:Charged Off,home_improvement,34.06266157473139,0,708,712,13,0,13265,6.8,30,f,Individual,1,0.0,1,2,3,710.0,False,True,False,False,True,False,False,True,False,True
6899,6899, 36 months,23.06,267.27,D,D2,5 years,OWN,114184.72330271488,Not Verified,Default,other,36.94634828563272,0,744,748,23,0,34849,35.4,25,f,Individual,2,0.0,1,4,5,746.0,False,False,False,True,False,True,False,False,False,False
6267,6267, 60 months,9.76,201.51,C,C2,10+ years,MORTGAGE,78925.11195803752,Verified,Does not meet the credit policy. Status:Charged Off,other,12.185340016739053,0,668,672,23,0,38821,79.9,33,f,Individual,3,0.0,1,3,10,670.0,False,False,False,True,True,False,False,False,True,True
36551,36551, 60 months,16.05,1285.93,E,E4,3 years,RENT,123480.4910292606,Source Verified,Charged Off,major_purchase,20.967518343910054,0,656,660,14,0,47277,27.3,19,f,Joint App,0,0.0,1,5,3,658.0,False,False,True,False,False,False,True,True,False,True
16394,16394, 60 months,6.79,504.63,B,B5,10+ years,RENT,61864.19614970938,Source Verified,Default,debt_consolidation,20.172694535376973,0,671,675,12,0,39572,62.0,14,w,Individual,0,0.0,1,2,10,673.0,True,False,False,False,False,False,True,True,False,True
8556,8556, 36 months,14.74,295.51,B,B2,2 years,MORTGAGE,55303.16417935769,Verified,Default,other,22.115535402289613,0,707,711,4,1,40246,44.6,16,f,Individual,4,0.0,1,2,2,709.0,False,False,False,True,True,False,False,False,True,False
8890,8890, 36 months,23.54,346.64,E,E4,3 years,RENT,31136.27152449392,Source Verified,Default,credit_card,39.181898363814426,0,672,676,19,0,8148,54.4,25,w,Individual,3,0.0,1,5,3,674.0,False,False,False,False,False,False,True,True,False,False
35740,35740, 60 months,14.66,1233.0,C,C1,5 years,MORTGAGE,101098.32385287624,Source Verified,Does not meet the credit policy. Status:Charged Off,other,23.15598795990805,0,617,621,7,0,18166,58.6,18,f,Individual,0,0.0,1,3,5,619.0,False,False,False,True,True,False,False,True,False,True
19502,19502, 36 months,13.26,659.54,C,C4,9 years,RENT,55237.62834505408,Source Verified,Default,debt_consolidation,34.052684086971354,0,615,619,11,0,35109,45.9,21,w,Individual,0,0.0,1,3,9,617.0,True,False,False,False,False,False,True,True,False,False
26777,26777, 36 months,19.88,993.49,B,B1,2 years,RENT,65993.47116496635,Source Verified,Default,other,28.23779758933094,0,778,782,5,1,22490,10.2,13,f,Individual,4,0.0,1,2,2,780.0,False,False,False,True,False,False,True,True,False,False
15627,15627, 36 months,26.81,636.38,B,B3,3 years,MORTGAGE,45267.11790992174,Verified,Default,home_improvement,8.751681560077595,0,695,699,17,0,34387,56.1,30,w,Individual,0,0.0,1,2,3,697.0,False,True,False,False,True,False,False,False,True,False
13792,13792, 36 months,6.19,420.77,C,C3,7 years,RENT,248431.91543962143,Source Verified,Default,debt_consolidation,29.347988038282267,0,639,643,12,0,16740,40.8,31,f,Individual,0,0.0,1,3,7,641.0,True,False,False,False,False,False,True,True,False,False
13433,13433, 36 months,14.64,463.29,A,A4,9 years,RENT,63673.02819077842,Not Verified,Charged Off,home_improvement,27.647070764444383,0,638,642,17,1,8795,23.0,22,w,Individual,0,0.0,1,1,9,640.0,False,True,False,False,False,False,True,False,False,False
16016,16016, 36 months,8.96,509.01,E,E3,5 years,RENT,41878.29685141086,Source Verified,Fully Paid,home_improvement,31.546411314460183,0,655,659,17,0,15067,85.7,30,f,Individual,0,0.0,0,5,5,657.0,False,True,False,False,False,False,True,True,False,False
28897,28897, 36 months,22.38,1109.28,D,D5,10+ years,MORTGAGE,33535.45299241211,Not Verified,Does not meet the credit policy. Status:Charged Off,major_purchase,7.605698256529758,0,716,720,24,0,2367,71.2,29,w,Individual,3,0.0,1,4,10,718.0,False,False,True,False,True,False,False,False,False,False
7612,7612, 60 months,7.64,237.27,B,B4,4 years,MORTGAGE,77975.78172376314,Verified,Fully Paid,debt_consolidation,13.445764598704136,0,653,657,15,0,10926,30.6,19,w,Individual,1,0.0,0,2,4,655.0,True,False,False,False,True,False,False,False,True,True
28483,28483, 60 months,21.62,1082.19,C,C2,10+ years,MORTGAGE,41082.06475097915,Source Verified,Charged Off,home_improvement,31.925104141367544,0,771,775,14,0,32624,53.5,32,w,Individual,0,0.0,1,3,10,773.0,False,True,False,False,True,False,False,True,False,True
22159,22159, 36 months,12.15,737.58,C,C5,5 years,OWN,47782.42843582987,Not Verified,Default,major_purchase,17.971559051863515,2,645,649,4,0,18098,91.7,23,f,Individual,4,0.0,1,3,5,647.0,False,False,True,False,False,True,False,False,False,False
19541,19541, 60 months,9.97,630.26,B,B4,6 years,OWN,27891.339229902795,Not Verified,Fully Paid,major_purchase,36.878663488772624,0,759,763,4,0,15287,27.1,14,f,Individual,1,0.0,0,2,6,761.0,False,False,True,False,False,True,False,False,False,True
31531,31531, 36 months,28.41,1311.23,B,B1,,MORTGAGE,61916.05221459209,Source Verified,Does not meet the credit policy. Status:Charged Off,home_improvement,23.118464313870824,0,775,779,14,1,18350,90.3,29,w,Individual,1,0.0,1,2,0,777.0,False,True,False,False,True,False,False,True,False,False
6585,6585, 36 months,5.46,198.72,B,B3,1 year,MORTGAGE,61583.05372212879,Source Verified,Fully Paid,home_improvement,5.035949674935994,0,788,792,23,0,45952,66.5,37,w,Individual,2,0.0,0,2,1,790.0,False,True,False,False,True,False,False,True,False,False
8943,8943, 60 months,15.94,314.14,C,C3,8 years,RENT,151593.71315595313,Verified,Default,credit_card,29.45925870236003,0,793,797,18,1,15925,53.7,24,w,Individual,1,0.0,1,3,8,795.0,False,False,False,False,False,False,True,False,True,True
28939,28939, 60 months,5.54,874.36,C,C3,5 years,RENT,45800.77554843722,Verified,Fully Paid,debt_consolidation,22.971238994205777,0,765,769,24,0,13224,93.5,40,f,Individual,3,0.0,0,3,5,767.0,True,False,False,False,False,False,True,False,True,True
24457,24457, 60 months,17.09,873.05,C,C4,7 years,RENT,19958.91967037706,Source Verified,Charged Off,major_purchase,16.098302454705653,0,642,646,12,0,31512,35.0,18,w,Individual,2,0.0,1,3,7,644.0,False,False,True,False,False,False,True,True,False,True
6021,6021, 36 months,17.53,216.26,D,D5,,MORTGAGE,53575.52896318451,Verified,Default,debt_consolidation,5.715424444112352,0,603,607,23,0,45261,30.0,36,w,Individual,2,0.0,1,4,0,605.0,True,False,False,False,True,False,False,False,True,False
16653,16653, 60 months,13.04,561.43,D,D1,5 years,MORTGAGE,114859.5130957912,Verified,Charged Off,major_purchase,11.956118134885442,2,604,608,24,0,7945,35.6,35,f,Individual,1,0.0,1,4,5,606.0,False,False,True,False,True,False,False,False,True,True
18417,18417, 36 months,8.3,579.67,C,C3,7 years,MORTGAGE,81245.88889649278,Verified,Charged Off,other,10.655787141459074,0,712,716,20,0,13793,72.6,22,f,Individual,4,0.0,1,3,7,714.0,False,False,False,True,True,False,False,False,True,False
14692,14692, 60 months,14.41,505.07,D,D5,10+ years,MORTGAGE,103067.4039168506,Verified,Fully Paid,other,25.399895054705706,1,657,661,13,0,5296,35.3,17,w,Individual,2,0.0,0,4,10,659.0,False,False,False,True,True,False,False,False,True,True
11873,11873, 60 months,21.81,452.27,B,B2,6 years,RENT,75058.19954521242,Source Verified,Does not meet the credit policy. Status:Charged Off,major_purchase,31.93439071777088,0,636,640,18,0,8163,14.2,21,f,Individual,1,0.0,1,2,6,638.0,False,False,True,False,False,False,True,True,False,True
10675,10675, 36 months,24.56,421.96,E,E2,3 years,RENT,48079.280857346894,Source Verified,Fully Paid,credit_card,13.211224588481455,0,753,757,15,0,14331,63.0,21,w,Individual,0,0.0,0,5,3,755.0,False,False,False,False,False,False,True,True,False,False
5161,5161, 36 months,18.27,187.28,C,C1,5 years,RENT,34127.58289861654,Not Verified,Default,other,29.42030969796419,0,608,612,8,0,36571,25.1,10,f,Individual,1,0.0,1,3,5,610.0,False,False,False,True,False,False,True,False,False,False
31557,31557, 60 months,19.75,1168.76,D,D3,1 year,MORTGAGE,36631.115533977805,Verified,Default,debt_consolidation,36.49384904942522,0,614,618,17,0,15181,5.4,33,f,Individual,2,0.0,1,4,1,616.0,True,False,False,False,True,False,False,False,True,True
38763,38763, 36 months,10.02,1251.14,C,C2,2 years,RENT,44308.97041492323,Source Verified,Fully Paid,home_improvement,26.755510747059184,0,687,691,13,0,49332,22.9,15,w,Individual,1,1.0,0,3,2,689.0,False,True,False,False,False,False,True,True,False,False
37606,37606, 36 months,12.18,1252.29,B,B5,7 years,RENT,82208.2348872749,Not Verified,Default,debt_consolidation,32.147666909057655,1,698,702,23,0,48019,78.7,33,f,Individual,0,0.0,1,2,7,700.0,True,False,False,False,False,False,True,False,False,False
16534,16534, 60 months,9.05,526.16,C,C5,1 year,MORTGAGE,57513.67271519675,Verified,Does not meet the credit policy. Status:Charged Off,debt_consolidation,12.148102693208047,0,704,708,4,0,12310,89.6,8,w,Individual,2,0.0,1,3,1,706.0,True,False,False,False,True,False,False,False,True,True
34127,34127, 36 months,11.23,1120.99,B,B2,2 years,RENT,24352.31142723249,Not Verified,Fully Paid,debt_consolidation,7.622848268271362,1,753,757,19,0,46080,64.6,36,f,Individual,2,0.0,0,2,2,755.0,True,False,False,False,False,False,True,False,False,False
30851,30851, 60 months,10.62,1004.48,C,C3,3 years,RENT,70268.78608306785,Verified,Fully Paid,major_purchase,17.788573043502474,0,790,794,7,0,45645,32.9,16,w,Individual,2,0.0,0,3,3,792.0,False,False,True,False,False,False,True,False,True,True
6016,6016, 36 months,17.99,217.46,C,C1,8 years,RENT,110342.921172031,Source Verified,Fully Paid,major_purchase,29.815242370532747,0,797,801,8,0,2340,44.3,17,w,Individual,0,0.0,0,3,8,799.0,False,False,True,False,False,False,True,True,False,False
29253,29253, 36 months,19.07,1073.33,D,D3,5 years,MORTGAGE,27200.02091827701,Not Verified,Fully Paid,debt_consolidation,29.013450626028064,3,704,708,12,0,29339,22.5,28,w,Individual,0,0.0,0,4,5,706.0,True,False,False,False,True,False,False,False,False,False
29276,29276, 60 months,28.62,1220.79,C,C4,7 years,RENT,78815.74721961837,Source Verified,Charged Off,home_improvement,38.42777344007527,1,626,630,20,0,41054,84.3,33,w,Individual,1,0.0,1,3,7,628.0,False,True,False,False,False,False,True,True,False,True
28247,28247, 36 months,9.89,909.99,C,C2,10+ years,OWN,20837.162196248097,Verified,Fully Paid,credit_card,27.04924469183159,1,781,785,9,0,11207,64.9,27,w,Individual,0,0.0,0,3,10,783.0,False,False,False,False,False,True,False,False,True,False
29300,29300, 36 months,21.04,1104.48,B,B4,2 years,RENT,38643.09322554514,Verified,Does not meet the credit policy. Status:Charged Off,credit_card,19.394956134756733,0,682,686,8,0,21687,12.6,20,w,Individual,2,0.0,1,2,2,684.0,False,False,False,False,False,False,True,False,True,False
13529,13529, 60 months,25.43,540.99,G,G2,7 years,RENT,31512.603980890974,Verified,Does not meet the credit policy. Status:Charged Off,other,32.89959993285245,2,758,762,21,0,34780,38.0,26,w,Individual,1,0.0,1,7,7,760.0,False,False,False,True,False,False,True,False,True,True
22262,22262, 36 months,19.01,816.15,D,D1,< 1 year,MORTGAGE,84316.45239595202,Not Verified,Charged Off,other,10.357376907426094,0,631,635,20,0,46672,53.4,38,w,Individual,0,0.0,1,4,0,633.0,False,False,False,True,True,False,False,False,False,False
14268,14268, 36 months,11.38,469.69,D,D3,6 years,RENT,137625.74977404848,Not Verified,Fully Paid,home_improvement,33.455781842193204,0,729,733,24,0,25533,76.8,36,w,Individual,0,0.0,0,4,6,731.0,False,True,False,False,False,False,True,False,False,False
26271,26271, 36 months,11.56,867.06,B,B3,8 years,RENT,101829.73168505236,Not Verified,Default,debt_consolidation,17.807566301776266,0,617,621,14,0,12881,87.8,23,w,Individual,3,0.0,1,2,8,619.0,True,False,False,False,False,False,True,False,False,False
17185,17185, 60 months,5.98,522.65,C,C2,7 years,RENT,100120.13403545592,Source Verified,Charged Off,major_purchase,10.390350315778493,0,627,631,6,0,42317,16.9,24,w,Individual,2,0.0,1,3,7,629.0,False,False,True,False,False,False,True,True,False,True
26243,26243, 60 months,12.64,879.69,A,A5,2 years,MORTGAGE,37582.63387699828,Not Verified,Charged Off,other,10.674921841345787,0,670,674,9,0,3732,80.1,18,w,Individual,1,1.0,1,1,2,672.0,False,False,False,True,True,False,False,False,False,True
13571,13571, 60 months,23.62,529.73,C,C4,4 years,OWN,80132.87098339346,Verified,Charged Off,debt_consolidation,39.42591233536287,0,716,720,12,0,48947,10.9,21,w,Individual,2,0.0,1,3,4,718.0,True,False,False,False,False,True,False,False,True,True
7568,7568, 36 months,6.19,230.89,A,A3,3 years,RENT,67491.14547049037,Source Verified,Fully Paid,credit_card,26.81279668892136,0,699,703,16,0,8304,26.6,24,f,Individual,3,0.0,0,1,3,701.0,False,False,False,False,False,False,True,True,False,False
7027,7027, 60 months,10.48,228.33,C,C3,8 years,OWN,33265.34270489599,Verified,Fully Paid,home_improvement,11.09926080127284,0,687,691,4,0,43638,6.9,7,f,Individual,0,0.0,0,3,8,689.0,False,True,False,False,False,True,False,False,True,True
7695,7695, 36 months,22.66,296.51,C,C2,8 years,RENT,102540.7942045048,Verified,Default,major_purchase,14.39968883036014,0,691,695,18,0,7699,10.7,32,f,Individual,3,0.0,1,3,8,693.0,False,False,True,False,False,False,True,False,True,False
10258,10258, 36 months,24.57,405.53,B,B5,4 years,RENT,74374.55118504952,Not Verified,Charged Off,major_purchase,18.022791918206394,0,752,756,23,1,4703,7.9,28,f,Individual,4,0.0,1,2,4,754.0,False,False,True,False,False,False,True,False,False,False
27002,27002, 36 months,16.38,954.38,C,C4,3 years,RENT,53668.8825029334,Not Verified,Does not meet the credit policy. Status:Charged Off,other,6.956481458850664,0,638,642,7,0,34621,18.1,26,w,Individual,0,1.0,1,3,3,640.0,False,False,False,True,False,False,True,False,False,False
38159,38159, 60 months,22.45,1466.21,E,E5,6 years,RENT,90275.37239604874,Not Verified,Charged Off,debt_consolidation,8.794550074467907,1,776,780,5,0,36738,83.9,19,w,Individual,1,0.0,1,5,6,778.0,True,False,False,False,False,False,True,False,False,True
18986,18986, 60 months,14.7,655.37,A,A5,10+ years,MORTGAGE,64471.2232578446,Verified,Charged Off,major_purchase,31.66140030395588,0,731,735,19,0,10106,30.5,21,w,Individual,0,0.0,1,1,10,733.0,False,False,True,False,True,False,False,False,True,True
17666,17666, 36 months,9.0,561.77,D,D2,8 years,MORTGAGE,109163.19953056586,Source Verified,Does not meet the credit policy. Status:Charged Off,credit_card,32.54058893672817,0,651,655,9,0,49366,48.2,13,f,Individual,1,1.0,1,4,8,653.0,False,False,False,False,True,False,False,True,False,False
8561,8561, 36 months,14.95,296.56,B,B5,6 years,RENT,153892.83798050857,Not Verified,Default,credit_card,39.5882113977601,0,721,725,23,0,48256,48.8,27,w,Individual,0,0.0,1,2,6,723.0,False,False,False,False,False,False,True,False,False,False
31854,31854, 60 months,19.5,1175.71,A,A4,8 years,OWN,52074.3416533539,Not Verified,Fully Paid,home_improvement,7.365873487150369,1,667,671,18,0,13489,94.6,35,f,Individual,1,0.0,0,1,8,669.0,False,True,False,False,False,True,False,False,False,True
27662,27662, 36 months,28.7,1154.69,B,B1,10+ years,RENT,51787.9860457543,Source Verified,Does not meet the credit policy. Status:Charged Off,home_improvement,36.12145440673915,0,656,660,22,0,3018,37.8,24,w,Individual,0,0.0,1,2,10,658.0,False,True,False,False,False,False,True,True,False,False
13392,13392, 60 months,6.72,411.79,D,D1,4 years,MORTGAGE,46845.63687661064,Verified,Default,credit_card,16.102561597542973,1,612,616,10,1,20307,28.9,27,w,Individual,0,0.0,1,4,4,614.0,False,False,False,False,True,False,False,False,True,True
35535,35535, 36 months,17.68,1278.98,B,B4,10+ years,MORTGAGE,60397.20661216197,Verified,Fully Paid,credit_card,16.474770501117018,0,792,796,14,0,49011,91.7,32,w,Individual,0,0.0,0,2,10,794.0,False,False,False,False,True,False,False,False,True,False
18067,18067, 36 months,13.22,610.66,E,E2,1 year,RENT,117653.289655172,Source Verified,Default,debt_consolidation,9.454878815816016,0,662,666,21,0,4121,58.3,25,w,Individual,1,0.0,1,5,1,664.0,True,False,False,False,False,False,True,True,False,False
28599,28599, 36 months,17.71,1029.77,C,C3,5 years,RENT,35225.6458433986,Not Verified,Default,major_purchase,39.52050619306587,1,670,674,11,0,42724,31.1,27,f,Individual,1,0.0,1,3,5,672.0,False,False,True,False,False,False,True,False,False,False
16837,16837, 36 months,5.6,509.17,A,A2,5 years,OWN,30175.56763592257,Source Verified,Fully Paid,debt_consolidation,39.33462329180357,0,752,756,5,0,45871,30.9,20,w,Individual,0,0.0,0,1,5,754.0,True,False,False,False,False,True,False,True,False,False
19039,19039, 60 months,12.83,639.94,D,D4,4 years,RENT,67371.63426378212,Not Verified,Default,home_improvement,35.26903630582804,0,622,626,15,0,44146,12.8,27,f,Individual,2,0.0,1,4,4,624.0,False,True,False,False,False,False,True,False,False,True
35818,35818, 36 months,25.5,1433.61,A,A5,,MORTGAGE,58763.22460831588,Source Verified,Does not meet the credit policy. Status:Charged Off,home_improvement,8.177303032583279,0,629,633,11,0,9038,55.1,25,f,Individual,0,0.0,1,1,0,631.0,False,True,False,False,True,False,False,True,False,False
24115,24115, 60 months,18.85,882.13,D,D1,< 1 year,RENT,65941.54097652335,Verified,Default,home_improvement,34.457736899823246,2,712,716,4,0,32058,70.1,10,f,Individual,1,0.0,1,4,0,714.0,False,True,False,False,False,False,True,False,True,True
15965,15965, 36 months,16.26,563.33,B,B5,10+ years,RENT,22511.43888604025,Verified,Does not meet the credit policy. Status:Charged Off,major_purchase,27.211489759648245,0,788,792,10,0,49406,47.7,23,w,Individual,1,0.0,1,2,10,790.0,False,False,True,False,False,False,True,False,True,False
29538,29538, 36 months,12.14,983.06,B,B2,< 1 year,RENT,129398.4100466762,Verified,Charged Off,other,9.507140608399895,1,734,738,12,0,36470,84.6,30,f,Individual,3,0.0,1,2,0,736.0,False,False,False,True,False,False,True,False,True,False
10056,10056, 36 months,12.45,336.17,D,D4,8 years,MORTGAGE,66346.99298725765,Verified,Fully Paid,home_improvement,14.161521503626162,0,653,657,12,0,45606,48.6,19,f,Individual,1,0.0,0,4,8,655.0,False,True,False,False,True,False,False,False,True,False
37482,37482, 36 months,14.58,1291.63,F,F1,,MORTGAGE,203505.2108629092,Source Verified,Does not meet the credit policy. Status:Charged Off,home_improvement,29.122844602437013,0,708,712,5,1,40571,36.2,23,f,Individual,3,0.0,1,6,0,710.0,False,True,False,False,True,False,False,True,False,False
13110,13110, 60 months,25.89,527.44,B,B4,2 years,RENT,73626.13037654033,Source Verified,Charged Off,debt_consolidation,33.12042710332663,0,744,748,7,0,35136,27.6,25,f,Individual,4,1.0,1,2,2,746.0,True,False,False,False,False,False,True,True,False,True
18773,18773, 36 months,29.18,788.54,D,D1,9 years,MORTGAGE,48985.69763438272,Not Verified,Does not meet the credit policy. Status:Charged Off,debt_consolidation,34.6830466091766,0,696,700,17,0,47029,26.9,28,w,Individual,0,0.0,1,4,9,698.0,True,False,False,False,True,False,False,False,False,False
32266,32266, 36 months,15.97,1133.9,B,B1,6 years,MORTGAGE,68014.65462623733,Source Verified,Charged Off,other,24.034058437062164,0,659,663,17,0,4593,33.5,26,w,Individual,0,0.0,1,2,6,661.0,False,False,False,True,True,False,False,True,False,False
22412,22412, 36 months,14.83,775.05,D,D1,8 years,MORTGAGE,125464.554986426,Not Verified,Does not meet the credit policy. Status:Charged Off,other,23.711697081558995,0,665,669,11,0,41559,94.3,30,f,Individual,2,0.0,1,4,8,667.0,False,False,False,True,True,False,False,False,False,False
38270,38270, 36 months,26.16,1545.19,C,C2,,OWN,41763.02408996474,Source Verified,Does not meet the credit policy. Status:Charged Off,other,28.947315450143726,0,765,769,24,1,19876,37.5,35,w,Individual,2,0.0,1,3,0,767.0,False,False,False,True,False,True,False,True,False,False
11910,11910, 36 months,15.67,416.78,B,B4,,MORTGAGE,80197.57450030738,Source Verified,Does not meet the credit policy. Status:Charged Off,other,32.22028922315877,0,740,744,12,0,15812,52.2,14,f,Individual,2,0.0,1,2,0,742.0,False,False,False,True,True,False,False,True,False,False
30446,30446, 60 months,18.8,1112.95,B,B3,6 years,RENT,74524.726510932,Source Verified,Does not meet the credit policy. Status:Charged Off,debt_consolidation,10.970502343239747,0,651,655,6,0,15709,29.7,12,f,Individual,1,0.0,1,2,6,653.0,True,False,False,False,False,False,True,True,False,True
5206,5206, 36 months,10.77,169.87,A,A3,4 years,RENT,80582.15506980523,Source Verified,Fully Paid,home_improvement,30.894318084295247,0,779,783,22,0,39448,17.9,41,f,Individual,0,0.0,0,1,4,781.0,False,True,False,False,False,False,True,True,False,False
26518,26518, 36 months,23.59,1034.68,B,B3,10+ years,RENT,38006.56082554376,Verified,Charged Off,debt_consolidation,16.959030620449965,1,631,635,9,0,3096,63.1,11,w,Individual,2,0.0,1,2,10,633.0,True,False,False,False,False,False,True,False,True,False
27361,27361, 36 months,18.3,993.29,B,B4,8 years,RENT,82353.94788701032,Source Verified,Default,credit_card,18.43155173228198,1,608,612,4,1,26593,54.1,14,f,Individual,1,0.0,1,2,8,610.0,False,False,False,False,False,False,True,True,False,False
